run_id,stage,stub,task_id,submission,leak_verdict,counts_toward_promotion,scored_at,kappa,pred_mean_pp,pred_sd_pp,n_cells,n_cells_missing_scored_as_zero,r_adj,r_within_adj,rmse_adj_pp,truth_half_reliability,directional_agreement,cal_alpha,cal_beta,cal_beta_se,cal_r2,spread_ratio,mean_signed_error_pp,note
20260827T194235Z_s1,val,False,goldwert2026,2,CLEAN,True,2026-08-27T19:57:09Z,0.35,1.567,0.469,204,0,0.3118,0.0817,2.1859,0.5194,0.6765,-0.7497,1.523,0.4647,0.0505,0.1475,-0.0696,regime-conditional damping kappa=0.35 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
20260827T194235Z_s1,val,False,kerwer2025,2,CLEAN,False,2026-08-27T19:57:09Z,0.35,-1.292,0.962,136,0,0.1038,0.0561,2.1875,0.1289,0.7647,-2.6363,0.1476,0.3419,0.0014,0.2525,1.5351,regime-conditional damping kappa=0.35 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
20260827T194235Z_s1,val,False,kim2024,2,CLEAN,True,2026-08-27T19:57:09Z,1.0,1.348,2.464,22,0,0.6946,0.8165,4.2476,0.8973,1.0,-0.2345,1.5668,0.401,0.4329,0.42,-0.5294,regime-conditional damping kappa=1.0 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
20260827T194235Z_s1,val,False,orchinik2024,2,CLEAN,False,2026-08-27T19:57:09Z,0.55,0.321,0.908,50,0,1.0,-12681.1379,1.1647,0.0,0.7,-0.953,0.3798,0.2938,0.0336,0.4829,1.1523,regime-conditional damping kappa=0.55 toward own grand mean; kappa=1.00 rows are identical resubmissions = fresh-draw replication controls
20260827T202417Z_s2,val,False,altenmueller2024,1,CLEAN,True,2026-08-27T20:28:55Z,1.0,0.82,2.0574,10,0,0.9872750232213152,1.0,2.8498791185068093,0.5680004608793525,0.8,2.615262279947036,1.297373405105454,0.411861949465826,0.5536368490233591,0.5735185944667222,-2.859108472133508,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=1.00 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,altenmueller2024,2,CLEAN,True,2026-08-27T20:32:36Z,1.0,0.82,2.0574,10,0,,,0.0,1e-09,0.8,0.7513544975007159,0.8390648137506004,0.2517388178570793,0.5813578868468453,0.9087120247471672,-0.6193876447762081,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,beall2017,1,CLEAN,True,2026-08-27T20:28:55Z,0.5,0.3441,6.5482,96,0,0.425378639181388,0.0978876595366292,6.704511381786754,0.6635902007436807,0.5104166666666666,2.5364861017873293,0.3272226455340354,0.0913643314233743,0.1200746472095102,1.0589667110719574,-2.3050156513638256,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=0.50 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions"
20260827T202417Z_s2,val,False,beall2017,2,CLEAN,True,2026-08-27T20:32:36Z,0.0,0.5708,4.4683,96,0,0.2457585311836215,-0.0639488726103205,5.261004847188959,0.5150777358599818,0.5833333333333334,2.1786005938541355,0.1989474241449865,0.1145161660907999,0.0311092816921169,0.8865570162771576,-1.721333081803565,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control"
20260827T202417Z_s2,val,False,dablander2025,1,CLEAN,True,2026-08-27T20:28:55Z,1.0,3.066,10.6365,25,0,0.9931992644229248,0.9675971945552626,3.7031718284247184,0.9069796300856804,0.68,-2.4380192298227503,0.8100274372806077,0.0579488885413939,0.8946853206215413,1.1677111478543811,3.0204751071204066,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=1.00 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,dablander2025,2,CLEAN,True,2026-08-27T20:32:36Z,1.0,3.066,10.6365,25,0,0.9670113258030336,0.9602749743009924,3.7599477179236658,0.903454820307333,0.64,-1.4705527618294711,0.7798292243730647,0.0696873665326476,0.8448304539497538,1.178651121675146,2.145596359901655,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,goldwert2026,1,CLEAN,True,2026-08-27T20:28:55Z,0.5,1.568,1.1361,204,0,0.3021566887280908,0.1032948109983705,2.6577019329764267,0.6081984994575906,0.6274509803921569,0.105161925561785,0.7347119896822735,0.2131970385964021,0.0555277107776102,0.3207286509648174,0.3108148763421027,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=0.50 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions"
20260827T202417Z_s2,val,False,goldwert2026,2,CLEAN,True,2026-08-27T20:32:36Z,0.0,1.5659,0.6717,204,0,0.5509705292375499,0.1880772098636885,2.336130091274605,0.5808512638049592,0.7598039215686274,-1.2761089838500537,2.1287903407608857,0.3237229403015081,0.1763281608680985,0.1972549670460968,-0.4914770906337788,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control"
20260827T202417Z_s2,val,False,kerwer2025,1,CLEAN,False,2026-08-27T20:28:55Z,0.5,-1.4441,1.9709,136,0,0.9425602283155718,0.9563222602794448,0.8864715588968506,0.0956393005505283,0.6544117647058824,-0.5241590339704641,0.5685391473893454,0.161175433123783,0.0849678467372317,0.5127042675501217,-0.0989243698058972,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=0.50 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions"
20260827T202417Z_s2,val,False,kerwer2025,2,CLEAN,False,2026-08-27T20:32:36Z,0.0,-1.448,1.8841,136,0,0.4257294491374159,0.5310505020966645,1.7660700256148336,0.0958085437600828,0.6691176470588235,-1.5201885286790748,0.2610263030085326,0.1696259149528615,0.0173648735366745,0.5048374216796577,0.4501763499559302,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control"
20260827T202417Z_s2,val,False,kim2024,1,CLEAN,True,2026-08-27T20:28:55Z,1.0,1.3477,2.5216,22,0,0.8860779996132833,0.8244260211580756,2.416643620721811,0.7718604114382456,0.5454545454545454,-2.09678556748028,1.216816737490141,0.2193861577971362,0.6060140231630301,0.6397586433472569,1.8045757371810665,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=1.00 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,kim2024,2,CLEAN,True,2026-08-27T20:32:36Z,1.0,1.3477,2.5216,22,0,0.6946140888269181,0.8165323484783852,4.247626639197967,0.8972753862130697,1.0,-0.2344655407735978,1.5667551031735527,0.4009588509900228,0.4329252637048377,0.4199575052502477,-0.5293657687307581,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,orchinik2024,1,CLEAN,False,2026-08-27T20:28:55Z,1.0,0.3212,1.6686,50,0,,,1.65725688796489,1e-09,0.7,-0.8980763120158564,0.2088616640600225,0.1615929143839227,0.0336336051972475,0.8780676502106733,1.152189945519777,"mechanism M1w: damp toward the per-OUTCOME mean (outcome profile preserved), kappa=1.00 in the many-similar-arms regime, 1.0 elsewhere; + M3 assertion-match exemptions [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T202417Z_s2,val,False,orchinik2024,2,CLEAN,False,2026-08-27T20:32:36Z,1.0,0.3212,1.6686,50,0,,,0.0,1e-09,0.8,0.5631769353692578,0.5726356261057446,0.1293352809368605,0.2899724173034326,0.94037263080483,-0.425907498474423,"probe: message-level component removed (kappa=0) where it was declared, else identical resubmission = fresh-draw replication control [file byte-identical to s1 submission_1 -> pure fresh-draw replication control]"
20260827T205641Z_s3,val,False,altenmueller2024,1,CLEAN,True,2026-08-27T21:08:21Z,1.0,0.82,2.0574,10,0,0.9872750232213152,1.0,2.8498791185068093,0.5680004608793525,0.8,2.615262279947036,1.297373405105454,0.411861949465826,0.5536368490233591,0.5735185944667222,-2.859108472133508,candidate = baseline (distinct-intervention regime).
20260827T205641Z_s3,val,False,altenmueller2024,2,CLEAN,True,2026-08-27T21:08:21Z,1.0,0.9922,2.4895,10,0,1.0,0.8717703710181165,0.9896054820868682,0.2680258289863977,0.8,1.7608469770945934,0.7404835837202981,0.3158244316941236,0.4072832982524139,0.8618523412147614,-1.503354788861873,"question: beta-actionability, expand, lam_all=1.21 (weak read, 10 cells)."
20260827T205641Z_s3,val,False,beall2017,1,CLEAN,True,2026-08-27T21:08:21Z,0.2,0.344,5.8082,96,0,0.5351712000584166,0.1498112055730338,5.236170179398276,0.5919773852182687,0.6041666666666666,1.678637116152893,0.4021737379504891,0.0918040771892386,0.1695471852569724,1.0238388015549136,-1.472978654650965,"M1w-v2 candidate: study-uniform kappa=0.20, M3 per-outcome exemption REMOVED. Drew the SAME human half as s1/sub1 (reliability .5920, mse -1.4730, r_within .1498 all bit-identical) => noise-free controlled comparison vs baseline."
20260827T205641Z_s3,val,False,beall2017,2,CLEAN,True,2026-08-27T21:08:21Z,0.2,0.344,2.7271,96,0,0.4102595369674365,0.2222756637920236,5.042626763758436,0.6740825883482557,0.5208333333333334,1.9334473929067737,0.7731821138883397,0.2229218233098923,0.1134567869748067,0.4356457096410316,-1.855419677398049,question: M5 outcome-level amplitude lam_btw=0.45 on top of kappa=0.20. Is the many-variant outcome profile ~2x too large?
20260827T205641Z_s3,val,False,dablander2025,1,CLEAN,True,2026-08-27T21:08:21Z,1.0,3.066,10.6365,25,0,0.984903788299554,0.9570320907487532,3.492626559964525,0.8913716716687302,0.64,-1.2063593268706907,0.7507916632127588,0.0619358288035533,0.8646621404389526,1.238522156390211,1.970432087460372,candidate = baseline (distinct-intervention regime; mechanism does not fire).
20260827T205641Z_s3,val,False,dablander2025,2,CLEAN,True,2026-08-27T21:08:21Z,1.0,2.4835,8.6155,25,0,0.9878828092761236,0.9582781638958996,2.9605303581610785,0.9161699399526384,0.68,-2.754891061443104,1.0405651151072617,0.0746717796178112,0.8941016460094293,0.9087076518830683,2.6541492206788235,"question (mechanism probe, NOT for promotion): is cal_beta an actionable amplitude instrument? whole-table lam_all=0.81 = the beta measured over 3 prior draws on the most reliable task. shrink direction."
20260827T205641Z_s3,val,False,goldwert2026,1,CLEAN,True,2026-08-27T21:08:21Z,0.2,1.5667,1.0716,204,0,0.3047492210295101,0.1097732287841113,1.9891457524155045,0.4462438999898139,0.7156862745098039,1.1830528548362274,0.5611502149230511,0.1898818845736833,0.041443602623518,0.3627852462396616,-0.4955258273312137,"M1w-v2 candidate: study-uniform kappa=0.20, no exemptions."
20260827T205641Z_s3,val,False,goldwert2026,2,CLEAN,True,2026-08-27T21:08:21Z,0.2,1.5667,0.5043,204,0,0.3489793190558483,0.0816717539800048,2.1626266165459755,0.5193542817369341,0.6764705882352942,-0.8532625300766923,1.5890660785898008,0.4302753705695597,0.0632503740576158,0.158266716440019,-0.0696018845563622,question: M5 lam_btw=0.45 on top of kappa=0.20.
20260827T205641Z_s3,val,False,kerwer2025,1,CLEAN,False,2026-08-27T21:08:21Z,0.2,-1.2918,0.8747,136,0,,,3.6974637379636976,1e-09,0.9485294117647058,-4.125989505794427,1.0449785768418067,0.3104585641490137,0.0779567920815589,0.2671896264332705,4.184091243879491,M1w-v2 candidate (non-promotion task).
20260827T205641Z_s3,val,False,kerwer2025,2,CLEAN,False,2026-08-27T21:08:21Z,0.2,-1.2918,0.6183,136,0,0.2005820965272254,0.6521830195896611,2.158344893709613,0.0905917961951451,0.7720588235294118,-2.6710068153070066,0.3618595345470857,0.5168423781826046,0.003644795811585,0.1668386171180741,1.8466794846395944,question: M5 lam_btw=0.45 (non-promotion task).
20260827T205641Z_s3,val,False,kim2024,1,CLEAN,True,2026-08-27T21:08:21Z,1.0,1.3477,2.5216,22,0,0.7320583003973317,0.6735434489109128,3.249023083663924,0.8626564197946902,0.7272727272727273,-1.285763994521805,1.3327037609302057,0.3213821599187758,0.4623056456746031,0.5101888643320139,0.8373700621772318,candidate = baseline (distinct-intervention regime).
20260827T205641Z_s3,val,False,kim2024,2,CLEAN,True,2026-08-27T21:08:21Z,1.0,1.9272,3.6059,22,0,0.7016783721961959,0.7602335341154447,3.445362202902768,0.8718426565593262,0.9545454545454546,-0.4482929955443471,0.9573112388282964,0.246832573688103,0.4292539447005369,0.6843905274103528,0.530564910512513,"question (mechanism probe, NOT for promotion): beta-actionability, EXPAND direction, whole-table lam_all=1.43."
20260827T205641Z_s3,val,False,orchinik2024,1,CLEAN,False,2026-08-27T21:08:21Z,1.0,0.3212,1.6686,50,0,1.0,-1.0,0.0,0.0666104535050446,0.74,-0.4212979669218195,0.6093622576658532,0.1516898831520821,0.2516085736836263,0.8231655114099005,0.5467708097595476,"candidate = baseline. No sub_2: truth_half_reliability has been 0.00 on every draw, so a second call buys nothing."
20260827T221047Z_s4,val,False,altenmueller2024,1,CLEAN,True,2026-08-27T22:18:04Z,1.0,0.82,1.9518,10,0,1.0,0.5932168777844427,1.7028715513228536,0.281953017524481,0.8,2.2040531690419782,0.9348505607229776,0.3852915505808355,0.4239280524232995,0.696472358844506,-2.15063062883482,candidate = promoted baseline (distinct-intervention regime; M5 does not fire).
20260827T221047Z_s4,val,False,beall2017,1,CLEAN,True,2026-08-27T22:18:04Z,0.2,0.344,2.9849,96,0,0.4956811817462088,0.0126486830613286,3.856999959746348,0.5150777358599818,0.5104166666666666,2.08660650679959,0.5975397789668918,0.1619130959951077,0.1265545141656073,0.5953495070440235,-1.948155998470232,"M5 candidate probe: lam_btw=0.50 on top of promoted kappa=0.20 (many-variant regime). Total amplitude x0.517, message/outcome mix x2.00."
20260827T221047Z_s4,val,False,beall2017,2,CLEAN,True,2026-08-27T22:21:15Z,0.2,0.1634,2.7445,96,0,0.5428867976220205,0.0838723795919277,4.0885702176121255,0.5728375751390447,0.5520833333333334,2.193676064725531,0.8127345501147247,0.1859964485710765,0.1688301701517466,0.5055641924970632,-2.1630759636404364,"QUESTION M9 (NOT PROMOTABLE): lam_all=0.475 about zero on the PROMOTED mix. Amplitude matched to sub-1 within 8%, mix unchanged => isolates the mix effect. r_adj is exactly scale-invariant, so this row is a fresh-half read of the PROMOTED mix."
20260827T221047Z_s4,val,False,dablander2025,1,CLEAN,True,2026-08-27T22:18:04Z,1.0,3.066,10.4216,25,0,0.9641654074627348,0.9333545124672,5.09501342948883,0.9185699817098876,0.72,-3.672827165816933,0.832783612304193,0.0718226384890844,0.8539163719550816,1.109623126674486,4.185512610492277,candidate = promoted baseline (distinct-intervention regime; M5 does not fire).
20260827T221047Z_s4,val,False,goldwert2026,1,CLEAN,True,2026-08-27T22:18:04Z,0.2,1.5667,0.5532,204,0,0.3701167725551891,0.0873218729703868,2.511431297200334,0.5825245605908631,0.7990196078431373,-0.4789113181888069,1.725079599019259,0.4121726439088297,0.0797979572203313,0.1637520507999456,-0.6570396116511782,"M5 candidate probe: lam_btw=0.50 on top of promoted kappa=0.20 (many-variant regime). Total amplitude x0.517, mix x2.00."
20260827T221047Z_s4,val,False,goldwert2026,2,CLEAN,True,2026-08-27T22:21:15Z,0.2,0.7442,0.5078,204,0,0.3073685498965298,0.0938019398770762,2.688968802453186,0.6081984994575906,0.6274509803921569,0.0158796841648414,1.6680844103601424,0.4753463645741185,0.0574598120037318,0.1437024183337371,-0.5130427216971131,QUESTION M9 (NOT PROMOTABLE): lam_all=0.475 on the PROMOTED mix; fresh-half read of the promoted mix.
20260827T221047Z_s4,val,False,kerwer2025,1,CLEAN,False,2026-08-27T22:18:04Z,0.2,-1.2918,0.6342,136,0,,,3.173718357994374,1e-09,0.9338235294117648,-4.335862429970083,0.1453967636718187,0.4647514081414667,0.0007298710837664,0.1858096816096963,3.2319161317485032,M5 probe (non-promotion task; truth_half_reliability 0.00 again).
20260827T221047Z_s4,val,False,kim2024,1,CLEAN,True,2026-08-27T22:18:04Z,1.0,1.3477,2.4637,22,0,0.8519277587125327,0.8399701687307376,2.3500251731114026,0.789080415731691,0.6363636363636364,-1.687133603126571,1.2292189288873805,0.2374201313353013,0.5726994990878613,0.6156503947032114,1.3782090012397143,candidate = promoted baseline (distinct-intervention regime; M5 does not fire).
20260827T221047Z_s4,val,False,orchinik2024,1,CLEAN,False,2026-08-27T22:18:04Z,1.0,0.3212,1.6518,50,0,,,0.5107220143249696,1e-09,0.76,-1.018612198221534,0.6559888055802467,0.137932474648342,0.3202894200485672,0.8627299367275226,1.1291085938691583,candidate = promoted baseline (distinct-intervention regime; M5 does not fire).
20260828T060726Z_s5,val,False,beall2017,1,CLEAN,True,2026-08-28T06:25:07Z,0.2,0.344,5.8082,96,0,0.545069063262404,0.101346131676255,5.308814574636543,0.5728375751390447,0.5416666666666666,2.1931405649908764,0.3876008548074452,0.0882760303707762,0.1701902061025835,1.0643453226231163,-1.9824663282237704,"AM-ISO TARGETED (M10 candidate): message budget 100% on content-targeted outcomes {research_controversial, motive_political_views}; outcome profile and total message norm held at the promoted values. PREREG_AM.md fixed before scoring."
20260828T060726Z_s5,val,False,beall2017,2,CLEAN,True,2026-08-28T06:25:07Z,0.2,0.344,5.8082,96,0,0.3397647156093207,0.3074505846838108,6.622350847795662,0.6925743147017592,0.5364583333333334,1.9914215786475968,0.3137883993785913,0.1097910685339982,0.0799508218101363,0.9011033043005944,-1.755360499211328,"AM-ISO GENERIC (NOT PROMOTABLE): same outcome profile and same message norm, placed entirely on the 10 generic outcomes. Matched-amplitude control for sub-1."
20260828T060726Z_s5,val,False,dablander2025,1,CLEAN,True,2026-08-28T06:25:07Z,1.0,3.066,10.6365,25,0,0.9880780894561496,0.9698542761711328,3.2449367320205726,0.8997193133022595,0.8,-1.3528480989977876,0.7822449532303863,0.060689109768664,0.8783944458280972,1.1981246975838,2.0204850723934227,"AM-ISO TARGETED (M10 candidate): message budget on {perceived_radicalness, activist_support}."
20260828T060726Z_s5,val,False,dablander2025,2,CLEAN,True,2026-08-28T06:25:07Z,1.0,3.066,10.6365,25,0,0.5797440021273225,0.0498204904420029,9.448999651910686,0.8864780275843872,0.68,-2.038626753302861,0.4380818163254735,0.1402186208611803,0.2979480202471313,1.2459913431021865,3.761465656776224,"AM-ISO GENERIC (NOT PROMOTABLE): message budget on {policy_support, science_credibility, donation}, matched amplitude."
20260828T060726Z_s5,val,False,kim2024,1,CLEAN,True,2026-08-28T06:25:07Z,1.0,1.3477,2.5216,22,0,0.8731846206047115,0.7780833347100988,2.46071138882503,0.7718604114382456,0.5454545454545454,-2.072919931747455,1.1991086772499344,0.2242073371286264,0.588506037150205,0.6397597531900838,1.8045757371810665,"AM-ISO TARGETED (M10 candidate): message budget on {consensus_perceived, evidence_human}. Declared LOW POWER in advance (3sig = 0.35)."
20260828T060726Z_s5,val,False,kim2024,2,CLEAN,True,2026-08-28T06:25:07Z,1.0,1.3477,2.5216,22,0,0.6620733870488991,0.3174026035750888,3.499155590849901,0.8582272559227209,0.6363636363636364,-1.119829164624586,1.2125923886468746,0.3491535940935836,0.3761963393483665,0.5058158624484397,0.833312604470957,"AM-ISO GENERIC (NOT PROMOTABLE): message budget on the other 9 outcomes, matched amplitude. Low power."
20260828T060726Z_s5,val,False,goldwert2026,1,CLEAN,True,2026-08-28T06:25:07Z,0.2,1.5667,1.0716,204,0,0.4020290790393419,0.0181172643770244,1.80710285377486,0.4142950009687786,0.7549019607843137,1.034486021854643,0.6960849529932147,0.1828201451685238,0.0669614157165908,0.3717492214403697,-0.5583534910564293,"AM-ISO TARGETED (M10 candidate): a-priori 26-cell content-targeting map (AM_targeting_goldwert.csv) at the promoted message norm; my standing table carries NO targeting content, so this is authored, not reallocated."
20260828T060726Z_s5,val,False,goldwert2026,2,CLEAN,True,2026-08-28T06:25:07Z,0.2,1.5667,1.0716,204,0,0.1861166967839138,0.0683170109071395,3.270120979190562,0.6317044276551602,0.7549019607843137,2.363735855572367,0.4992236788209699,0.2348404196450275,0.0218818780313308,0.2963105537965727,-1.5791830945035656,AM-ISO GENERIC = the PROMOTED table exactly (kappa=0.20). Doubles as a fresh-draw replication of that affine class (R21) and adds 1 dof to the goldwert noise estimate.
20260828T060726Z_s5,val,False,kerwer2025,1,CLEAN,False,2026-08-28T06:29:08Z,0.2,-1.2918,0.8747,136,0,0.3991383114564814,0.4435599719871086,1.2484156431550444,0.0958085437600828,0.6544117647058824,-1.2171651193568829,0.5271714176020527,0.3657917974030878,0.0152633924405182,0.2343547065227536,0.606381497014754,"M10 candidate coverage: mechanism fires, M = {trust_integrity_*, trust_benevolence_*}. Diagnostics DECLARED UNINFORMATIVE in advance (reliability <= 0.13 on every draw); not evidence."
20260828T060726Z_s5,val,False,altenmueller2024,1,CLEAN,True,2026-08-28T06:29:08Z,1.0,0.82,2.0574,10,0,1.0,1.0,3.419775774645293,0.1638278331159457,0.8,3.836892250370737,0.7527465783449355,0.3471632521777503,0.3701497191811614,0.8082392221948663,-3.634144444613584,M10 candidate coverage: mechanism does NOT fire (no content-targeted item); byte-identical to the s3 baseline. Not evidence.
20260828T060726Z_s5,val,False,orchinik2024,1,CLEAN,False,2026-08-28T06:29:08Z,1.0,0.3212,1.6686,50,0,1.0,-1.0,0.4722373122145475,0.0717070374061812,0.7,-0.735182318816403,0.6320765865047328,0.1512241166019947,0.2668417512618841,0.8172542499386197,0.8533593192310828,M10 candidate coverage: mechanism does NOT fire; byte-identical to the s3 baseline. Not evidence.
20260828T074119Z_s6,val,False,beall2017,1,CLEAN,True,2026-08-28T07:54:23Z,0.2,0.344,5.8082,96,0,0.40063842498252333,-0.04486501650604283,5.727953309907993,0.5872133208935064,0.46875,1.3887246883345343,0.2921449996410295,0.09340865645857309,0.09425428400646192,1.050877496210215,-1.1452151947214622,"s6 instrument calibration ONLY (PREREG_S6.md 3): byte-identical resubmission of the s3 promoted table. Declared in advance as NOT evidence for any mechanism. Adds 1 dof to the affine-class sd(r_adj), which goes 0.0116 -> 0.0659 and retracts s5's 12.6-sigma AM-ISO reading to 2.2 sigma."
20260828T074119Z_s6,val,False,goldwert2026,1,CLEAN,True,2026-08-28T07:54:23Z,0.2,1.5667,1.0716,204,0,0.20464864254451076,0.1528731225556969,2.0120223211417394,0.434569873406915,0.5882352941176471,0.7488038770378083,0.3689943911446065,0.19068514553445798,0.018200249938841815,0.36561071171200793,0.23976539050614312,s6 instrument calibration ONLY (PREREG_S6.md 3): byte-identical resubmission of the s3 promoted table. Declared in advance as NOT evidence for any mechanism. Adds 1 dof; sd(r_adj) 0.0644 over 4 dof.
