arm,outcome,tier,code,outcome_target_mean,n_items,item,rule_clause,obj_pattern,pred_pattern,item_wording,stimulus_phrase
Corporate reliance,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_openness_3,F1,climate scientist,"pay.{0,15}attention to.{0,20}views|listen|other people.{0,10}views|consider.{0,15}(other|different) (views|perspectives)",How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),insurers aren’t the only ones listening to climate scientists
Corporate reliance,trust_post,full,1.0,1.0,1,t.trust_post,F1,climate scientist,rely on,How much do you trust climate scientists? (0 not at all - 100 very strongly),"for example, insurance companies rely on climate scientists’ projections when calculating premiums and assessing risks"
Corporate reliance,distrust_post,full,1.0,1.0,1,t.distrust_post,F1,climate scientist,\btrust\b,How much do you distrust climate scientists?,many companies that depend on forecasts to ensure profit (like insurers and global manufacturers) trust climate scientists to guide their decisions
Corporate reliance,policy_specific_mean,half,0.5,0.07142857142857142,7,t.policy_specific_6,HALF,business,,How much do you support or oppose: — Investing more in green jobs and businesses,"they use climate data to plan supply chains, choose new locations, and identify potential climate-related risks to their business"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_competence_1,HALF,scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_competence_2,HALF,scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_competence_3,HALF,scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,full,1.0,0.625,12,t.trust_integrity_1,F1,climate scientist,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),"but by staying united with the climate scientists, we can win the fight for truth, justice and a stable climate"
Social justice,trust_multidimensional,full,1.0,0.625,12,t.trust_integrity_2,F1,climate scientist,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),"but by staying united with the climate scientists, we can win the fight for truth, justice and a stable climate"
Social justice,trust_multidimensional,full,1.0,0.625,12,t.trust_integrity_3,F1,climate scientist,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),"but by staying united with the climate scientists, we can win the fight for truth, justice and a stable climate"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_1,HALF,scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_2,HALF,scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_3,HALF,scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_1,HALF,scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_2,HALF,scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"in this fight, scientists stand with us"
Social justice,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_3,HALF,scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"in this fight, scientists stand with us"
Social justice,trust_post,half,0.5,0.5,1,t.trust_post,HALF,scientist,,How much do you trust climate scientists? (0 not at all - 100 very strongly),"in this fight, scientists stand with us"
Social justice,distrust_post,half,0.5,0.5,1,t.distrust_post,HALF,scientist,,How much do you distrust climate scientists?,"in this fight, scientists stand with us"
Social justice,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',bear most of the consequences of climate change
Social justice,concern_mean,half,0.5,0.5,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,bear most of the consequences of climate change
Social justice,concern_mean,half,0.5,0.5,3,t.concern_2,HALF,climate change,,How serious a problem is climate change?,bear most of the consequences of climate change
Social justice,concern_mean,half,0.5,0.5,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?",bear most of the consequences of climate change
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_competence_1,F1,climate research,accurate,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),new climate research helped to improve our models such that our trend simulations have become more and more accurate over recent years
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_competence_2,F1,climate research,accurate,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),new climate research helped to improve our models such that our trend simulations have become more and more accurate over recent years
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_competence_3,F1,climate research,accurate,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),new climate research helped to improve our models such that our trend simulations have become more and more accurate over recent years
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_integrity_1,F1,climate science,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),"climate science is a collective effort to get closer to the truth, even if that means revising our ideas and results again and again"
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_integrity_2,F1,climate science,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),"climate science is a collective effort to get closer to the truth, even if that means revising our ideas and results again and again"
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_integrity_3,F1,climate science,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),"climate science is a collective effort to get closer to the truth, even if that means revising our ideas and results again and again"
Interview Prof. Maraun,trust_multidimensional,half,0.5,0.875,12,t.trust_benevolence_1,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,trust_multidimensional,half,0.5,0.875,12,t.trust_benevolence_2,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,trust_multidimensional,half,0.5,0.875,12,t.trust_benevolence_3,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_openness_1,F1,climate science,revis(e|ing)|correct(ing)? (their|our)? ?(mistakes|errors),How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"climate science is a collective effort to get closer to the truth, even if that means revising our ideas and results again and again"
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_openness_2,F1,climate science,revis(e|ing)|correct(ing)? (their|our)? ?(mistakes|errors),How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"climate science is a collective effort to get closer to the truth, even if that means revising our ideas and results again and again"
Interview Prof. Maraun,trust_multidimensional,full,1.0,0.875,12,t.trust_openness_3,F1,climate science,revis(e|ing)|correct(ing)? (their|our)? ?(mistakes|errors),How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"climate science is a collective effort to get closer to the truth, even if that means revising our ideas and results again and again"
Interview Prof. Maraun,trust_post,half,0.5,0.5,1,t.trust_post,HALF,climate scientist,,How much do you trust climate scientists? (0 not at all - 100 very strongly),douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,distrust_post,half,0.5,0.5,1,t.distrust_post,HALF,climate scientist,,How much do you distrust climate scientists?,douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,policy_role_mean,full,1.0,0.625,4,t.policy_role_1,F1,policy maker|policymaker|decision maker|policy[- ]making|government,inform,Climate scientists should work closely with policy makers to integrate scientific results into policy-making,"my goal and the goal of my scientific field is not to push for a certain message of global warming, but to keep improving our understanding of how changes in regional climate might unfold in the future to provide the bes"
Interview Prof. Maraun,policy_role_mean,half,0.5,0.625,4,t.policy_role_2,HALF,advocate|advocacy|push for|campaign for,,Climate scientists should actively advocate for specific policies,"my goal and the goal of my scientific field is not to push for a certain message of global warming, but to keep improving our understanding of how changes in regional climate might unfold in the future to provide the bes"
Interview Prof. Maraun,policy_role_mean,full,1.0,0.625,4,t.policy_role_3,F1,policy maker|policymaker|decision maker,"provide.{0,20}(information|advice|findings)",Climate scientists should communicate their findings to policy makers,"my goal and the goal of my scientific field is not to push for a certain message of global warming, but to keep improving our understanding of how changes in regional climate might unfold in the future to provide the bes"
Interview Prof. Maraun,inst_trust_mean,half,0.5,0.1,5,t.inst_trust_universities,HALF,universit|college|academia,,How much do you trust the following institutions? — universities,douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,concern_mean,half,0.5,0.5,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,concern_mean,half,0.5,0.5,3,t.concern_2,HALF,climate change,,How serious a problem is climate change?,douglas maraun at the university of graz in austria is a climate scientist researching climate change
Interview Prof. Maraun,concern_mean,half,0.5,0.5,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?",douglas maraun at the university of graz in austria is a climate scientist researching climate change
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_competence_1,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_competence_2,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_competence_3,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,full,1.0,0.625,12,t.trust_integrity_1,F1,climate scientist,paid to,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),- “climate scientists are paid to support certain climate policies
Funding,trust_multidimensional,full,1.0,0.625,12,t.trust_integrity_2,F1,climate scientist,paid to,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),- “climate scientists are paid to support certain climate policies
Funding,trust_multidimensional,full,1.0,0.625,12,t.trust_integrity_3,F1,climate scientist,paid to,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),- “climate scientists are paid to support certain climate policies
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_1,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_2,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_benevolence_3,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_1,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_2,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_multidimensional,half,0.5,0.625,12,t.trust_openness_3,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,trust_post,half,0.5,0.5,1,t.trust_post,HALF,climate scientist,,How much do you trust climate scientists? (0 not at all - 100 very strongly),"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,distrust_post,half,0.5,0.5,1,t.distrust_post,HALF,climate scientist,,How much do you distrust climate scientists?,"over the next few pages, we will ask you to answer questions about your beliefs and attitudes concerning climate scientists"
Funding,funding_perceptions,full,1.0,1.0,1,t.funding_perceptions,F1,taxpayer,fund,"Do you think the federal government is spending too much, too little or about the right amount of money on climate change research?",- it is important that taxpayer-funded programs show exactly how the taxmoney is spent
Funding,policy_role_mean,full,1.0,0.625,4,t.policy_role_1,F1,policy maker|policymaker|decision maker|policy[- ]making|government,scientist,Climate scientists should work closely with policy makers to integrate scientific results into policy-making,"- climate scientists are paid by their employers, which include universities, government agencies, and private companies"
Funding,policy_role_mean,half,0.5,0.625,4,t.policy_role_3,HALF,policy maker|policymaker|decision maker,,Climate scientists should communicate their findings to policy makers,"policymakers, businesses, and communities decide which policy solutions, if any, to use to address scientist’s findings"
Funding,policy_role_mean,full,1.0,0.625,4,t.policy_role_4,F1,policy[- ]making|policy process|policy makers|government,scientist,Climate scientists should be more involved in the policy-making process,"- climate scientists are paid by their employers, which include universities, government agencies, and private companies"
Funding,inst_trust_mean,half,0.5,0.2,5,t.inst_trust_universities,HALF,universit|college|academia,,How much do you trust the following institutions? — universities,"- climate scientists are paid by their employers, which include universities, government agencies, and private companies"
Funding,inst_trust_mean,half,0.5,0.2,5,t.inst_trust_federal_gov,HALF,federal government|the government,,How much do you trust the following institutions? — federal_gov,- “the federal government allocates significant resources to climate change research
Funding,belief_post,half,0.5,0.5,1,t.belief_post,HALF,climate change,,How accurate do you think this statement is? 'Human activities are causing climate change.',- “the federal government allocates significant resources to climate change research
Funding,concern_mean,half,0.5,0.6666666666666666,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,- “the federal government allocates significant resources to climate change research
Funding,concern_mean,full,1.0,0.6666666666666666,3,t.concern_2,F1,climate change,disaster,How serious a problem is climate change?,"in addition, many programs labelled as ‘climate change research’ address other issues, such as agriculture, infrastructure, and disaster resilience"
Funding,concern_mean,half,0.5,0.6666666666666666,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?",- “the federal government allocates significant resources to climate change research
Funding,policy_general,half,0.5,0.5,1,t.policy_general,HALF,policy|policies,,How much do you oppose or support: 'The U.S. government should do more to reduce global warming',- “climate scientists are paid to support certain climate policies
Funding,policy_specific_mean,half,0.5,0.21428571428571427,7,t.policy_specific_2,HALF,infrastructure,,How much do you support or oppose: — Expanding infrastructure for public transportation,"in addition, many programs labelled as ‘climate change research’ address other issues, such as agriculture, infrastructure, and disaster resilience"
Funding,policy_specific_mean,half,0.5,0.21428571428571427,7,t.policy_specific_3,HALF,clean energy,,How much do you support or oppose: — Increasing the use of sustainable energy such as wind and solar energy,6 billion on climate and clean energy research and development
Funding,policy_specific_mean,half,0.5,0.21428571428571427,7,t.policy_specific_6,HALF,business,,How much do you support or oppose: — Investing more in green jobs and businesses,"the median salary of environmental scientists is $80,060, which is comparable to other academic researchers in public universities, but lower than faculty in the economics, business and law departments"
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_competence_1,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_competence_2,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_competence_3,F1,scientist,qualifi|unqualified|credential|phd|degree|expert|training,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),” they also funded a small but vocal group of contrarian scientists and fake experts to sustain the illusion that there was significant disagreement within the scientific community
Oil industry misinformation,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_integrity_1,F1,scientist,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),merchants of doubt: how a handful of scientists obscured the truth on issues from tobacco smoke to global warming
Oil industry misinformation,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_integrity_2,F1,scientist,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),merchants of doubt: how a handful of scientists obscured the truth on issues from tobacco smoke to global warming
Oil industry misinformation,trust_multidimensional,full,1.0,0.6666666666666666,12,t.trust_integrity_3,F1,scientist,truth,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),merchants of doubt: how a handful of scientists obscured the truth on issues from tobacco smoke to global warming
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_benevolence_1,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_benevolence_2,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_2),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_benevolence_3,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_3),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_openness_1,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_1),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_openness_2,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_2),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_multidimensional,half,0.5,0.6666666666666666,12,t.trust_openness_3,HALF,climate scientist,,How open to feedback / willing to be transparent / attentive to other people's views are most climate scientists? (openness_3),some people think that climate scientists cannot be trusted
Oil industry misinformation,trust_post,full,1.0,1.0,1,t.trust_post,F1,scientist,\btrust\b,How much do you trust climate scientists? (0 not at all - 100 very strongly),"you’d be forgiven for feeling that way, because the fossil fuel industry has bankrolled a multi-decade propaganda campaign specifically designed to stop action on climate change by undermining the public’s trust in clima"
Oil industry misinformation,distrust_post,full,1.0,1.0,1,t.distrust_post,F1,scientist,\btrust\b,How much do you distrust climate scientists?,"you’d be forgiven for feeling that way, because the fossil fuel industry has bankrolled a multi-decade propaganda campaign specifically designed to stop action on climate change by undermining the public’s trust in clima"
Oil industry misinformation,policy_role_mean,half,0.5,0.25,4,t.policy_role_1,HALF,policy maker|policymaker|decision maker|policy[- ]making|government,,Climate scientists should work closely with policy makers to integrate scientific results into policy-making,” their goal was to confuse the public and policymakers in order to delay action and protect profits
Oil industry misinformation,policy_role_mean,half,0.5,0.25,4,t.policy_role_3,HALF,policy maker|policymaker|decision maker,,Climate scientists should communicate their findings to policy makers,” their goal was to confuse the public and policymakers in order to delay action and protect profits
Oil industry misinformation,inst_trust_mean,half,0.5,0.1,5,t.inst_trust_universities,HALF,universit|college|academia,,How much do you trust the following institutions? — universities,george mason university center for climate change communication
Oil industry misinformation,belief_post,full,1.0,1.0,1,t.belief_post,F1,climate change,burning fossil fuels,How accurate do you think this statement is? 'Human activities are causing climate change.',"initially, in the 1970s and early 1980s, oil companies agreed with academic and federal scientists that burning fossil fuels would lead to climate change"
Oil industry misinformation,concern_mean,half,0.5,0.6666666666666666,3,t.concern_1,HALF,climate change,,How concerned are you about climate change?,"you’d be forgiven for feeling that way, because the fossil fuel industry has bankrolled a multi-decade propaganda campaign specifically designed to stop action on climate change by undermining the public’s trust in clima"
Oil industry misinformation,concern_mean,full,1.0,0.6666666666666666,3,t.concern_2,F1,climate change,danger,How serious a problem is climate change?,"over the past decade, historians and journalists have discovered internal memos from oil companies showing that the oil industry has known since the 1950s that their products could cause dangerous climate change"
Oil industry misinformation,concern_mean,half,0.5,0.6666666666666666,3,t.concern_3,HALF,climate change,,"Relative to other issues facing the U.S., how important is climate change?","you’d be forgiven for feeling that way, because the fossil fuel industry has bankrolled a multi-decade propaganda campaign specifically designed to stop action on climate change by undermining the public’s trust in clima"
Oil industry misinformation,policy_general,half,0.5,0.5,1,t.policy_general,HALF,federal,,How much do you oppose or support: 'The U.S. government should do more to reduce global warming',"initially, in the 1970s and early 1980s, oil companies agreed with academic and federal scientists that burning fossil fuels would lead to climate change"
Oil industry misinformation,policy_specific_mean,half,0.5,0.07142857142857142,7,t.policy_specific_1,HALF,fossil fuel,,"How much do you support or oppose: — Raising taxes on fossil fuels (e.g., gas, oil, coal)","you’d be forgiven for feeling that way, because the fossil fuel industry has bankrolled a multi-decade propaganda campaign specifically designed to stop action on climate change by undermining the public’s trust in clima"
Oil industry misinformation,behavior_mean,full,1.0,0.16666666666666666,6,t.behavior_donate,F1,environmental (group|organi[sz]ation|charity),money,How likely are you to engage in the following in the next 12 months? — Donate to an environmental NGO,money also went to lobbying politicians against climate change legislation - outspending environmental groups by 10-to-1
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_competence_1,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_1),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_competence_2,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_2),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_competence_3,HALF,climate scientist,,How incompetent or competent / unintelligent or intelligent / unqualified or qualified are most climate scientists? (competence_3),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_integrity_1,HALF,climate scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_1),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_integrity_2,HALF,climate scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_2),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_integrity_3,HALF,climate scientist,,How dishonest or honest / unethical or ethical / insincere or sincere are most climate scientists? (integrity_3),climate scientists are researchers who study the earth’s climate
Measurement & modeling (1),trust_multidimensional,half,0.5,0.5,12,t.trust_benevolence_1,HALF,climate scientist,,How unconcerned or concerned about people's wellbeing / uneager or eager to improve others' lives / inconsiderate or considerate of others' interests are most climate scientists? (benevolence_1),climate scientists are researchers who study the earth’s climate
