study,sample,outcome,recipient,recipient_relation,recipient_is_message_subject,cost_type,stake,position,arm,n_t,n_c,ctrl_level_pp,ate_pp,se_pp,ate_pct_of_level,direct_pp,matched_att_ate_pp,note
voelkel2026,"US n=13,173",Donation_1,The Nature Conservancy,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Dire But Solvable Framing,1029,3046,13.757,-0.147,0.743,-1.071,,1.977,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,POOLED,10127,3046,21.663,-1.348,0.6,-6.221,-1.217,1.401,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Purity Framing,1002,3046,21.663,-0.013,1.101,-0.062,,1.128,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 2,1016,3046,21.663,-1.881,1.031,-8.681,,1.738,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 1,1020,3046,21.663,-1.013,1.04,-4.677,,0.805,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,High Social Distance Framing,1016,3046,21.663,-1.564,1.036,-7.221,,1.344,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,System Preservation Framing,1014,3046,21.663,-3.302,0.962,-15.244,,2.554,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Binding Framing,1029,3046,21.663,-1.308,1.018,-6.04,,0.172,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Free Market Framing,1017,3046,21.663,-0.516,1.062,-2.38,,1.85,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Gains Framing,990,3046,21.663,-1.871,1.022,-8.637,,2.795,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Warmth Framing,994,3046,21.663,-0.599,1.084,-2.764,,-0.35,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_2,World Wildlife Fund,aligned_cause_generic_brand,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Dire But Solvable Framing,1029,3046,21.663,-1.393,1.03,-6.432,,1.977,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,POOLED,10127,3046,9.267,0.203,0.312,2.191,0.01,1.401,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Purity Framing,1002,3046,9.267,0.237,0.579,2.562,,1.128,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 2,1016,3046,9.267,0.219,0.566,2.36,,1.738,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 1,1020,3046,9.267,-0.194,0.541,-2.094,,0.805,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,High Social Distance Framing,1016,3046,9.267,0.011,0.556,0.124,,1.344,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,System Preservation Framing,1014,3046,9.267,0.259,0.546,2.792,,2.554,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Binding Framing,1029,3046,9.267,-0.354,0.516,-3.821,,0.172,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Free Market Framing,1017,3046,9.267,0.27,0.576,2.917,,1.85,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Gains Framing,990,3046,9.267,0.623,0.588,6.722,,2.795,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Warmth Framing,994,3046,9.267,0.342,0.583,3.693,,-0.35,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_3,Environmental Defense Fund,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Dire But Solvable Framing,1029,3046,9.267,0.634,0.564,6.842,,1.977,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,POOLED,10127,3046,8.402,-0.153,0.284,-1.817,-0.347,1.401,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Purity Framing,1002,3046,8.402,-0.594,0.475,-7.075,,1.128,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 2,1016,3046,8.402,-0.736,0.477,-8.76,,1.738,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 1,1020,3046,8.402,0.493,0.533,5.871,,0.805,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,High Social Distance Framing,1016,3046,8.402,0.187,0.536,2.223,,1.344,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,System Preservation Framing,1014,3046,8.402,-0.196,0.485,-2.328,,2.554,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Binding Framing,1029,3046,8.402,0.392,0.508,4.667,,0.172,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Free Market Framing,1017,3046,8.402,-0.189,0.496,-2.255,,1.85,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Gains Framing,990,3046,8.402,-0.629,0.483,-7.485,,2.795,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Warmth Framing,994,3046,8.402,-0.05,0.499,-0.591,,-0.35,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_4,Natural Resources Defense Council,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Dire But Solvable Framing,1029,3046,8.402,-0.229,0.459,-2.727,,1.977,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,POOLED,10127,3046,8.452,0.157,0.315,1.854,0.026,1.401,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Purity Framing,1002,3046,8.452,0.358,0.599,4.239,,1.128,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 2,1016,3046,8.452,-0.296,0.55,-3.503,,1.738,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 1,1020,3046,8.452,0.213,0.542,2.516,,0.805,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,High Social Distance Framing,1016,3046,8.452,0.435,0.566,5.144,,1.344,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,System Preservation Framing,1014,3046,8.452,0.335,0.556,3.964,,2.554,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Binding Framing,1029,3046,8.452,-0.452,0.509,-5.349,,0.172,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Free Market Framing,1017,3046,8.452,-0.328,0.539,-3.883,,1.85,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Gains Framing,990,3046,8.452,0.2,0.573,2.364,,2.795,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Warmth Framing,994,3046,8.452,0.606,0.606,7.173,,-0.35,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation_5,Sierra Club,aligned_cause,0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Dire But Solvable Framing,1029,3046,8.452,0.514,0.587,6.077,,1.977,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,POOLED,10127,3046,61.541,-1.385,0.937,-2.251,-1.848,1.401,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Purity Framing,1002,3046,61.541,0.534,1.649,0.867,,1.128,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 2,1016,3046,61.541,-3.947,1.647,-6.413,,1.738,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Consensus Framing 1,1020,3046,61.541,-1.086,1.636,-1.765,,0.805,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,High Social Distance Framing,1016,3046,61.541,-1.448,1.652,-2.352,,1.344,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,System Preservation Framing,1014,3046,61.541,-1.937,1.642,-3.148,,2.554,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Binding Framing,1029,3046,61.541,-1.411,1.636,-2.292,,0.172,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Free Market Framing,1017,3046,61.541,-1.498,1.65,-2.434,,1.85,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Gains Framing,990,3046,61.541,-2.048,1.672,-3.328,,2.795,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Warmth Framing,994,3046,61.541,-0.368,1.653,-0.597,,-0.35,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2026,"US n=13,173",Donation,TOTAL_GIVEN,aligned_cause(menu of 5),0,money_certain,"$1 of own pay (certain, everyone paid)",strictly LAST item of the survey,Dire But Solvable Framing,1029,3046,61.541,-0.622,1.63,-1.011,,1.977,"5-recipient menu, remainder kept; 0-100 cents each; total 0-100"
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),POOLED,28428,6824,35.453,3.954,0.353,11.152,1.973,4.755,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Befriending_Meditation,1138,6824,35.453,5.029,0.894,14.184,,5.718,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Chatbot_Quiz,1131,6824,35.453,2.672,0.824,7.537,,3.214,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Civity_Storytelling,1134,6824,35.453,8.404,0.821,23.705,,8.867,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Common_Identity,1142,6824,35.453,5.994,0.766,16.907,,11.572,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Contact_Project,1147,6824,35.453,12.089,0.874,34.098,,8.79,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Counterfactual_Selves,1133,6824,35.453,1.211,0.833,3.416,,1.89,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Democratic_Fear,1135,6824,35.453,4.921,0.808,13.88,,3.917,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Economic_Interests,1132,6824,35.453,1.126,0.845,3.177,,0.617,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Empathy_Beliefs,1139,6824,35.453,6.963,0.844,19.641,,7.128,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Epistemic_Rescue,1138,6824,35.453,4.427,0.843,12.488,,3.156,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Harmful_Experiences,1126,6824,35.453,1.727,0.848,4.87,,1.456,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Inparty_Elites,1139,6824,35.453,2.251,0.821,6.35,,1.852,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Learning_Goals,1134,6824,35.453,4.267,0.902,12.035,,6.002,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Media_Trust,1144,6824,35.453,8.836,0.793,24.924,,10.912,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Misperception_Competition,1136,6824,35.453,1.349,0.818,3.805,,4.183,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Misperception_Democratic,1144,6824,35.453,4.257,0.802,12.007,,7.388,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Misperception_Film,1133,6824,35.453,5.587,0.786,15.76,,10.049,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Misperception_Suffering,1134,6824,35.453,5.621,0.86,15.855,,5.92,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Moral_Differences,1136,6824,35.453,5.154,0.819,14.538,,4.676,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Outparty_Friendship,1140,6824,35.453,4.69,0.884,13.228,,5.003,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Partisan_Threat,1134,6824,35.453,-1.042,0.81,-2.94,,-1.032,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
voelkel2024,"US n=31,908",PA_DG (cents given to out-partisan),an anonymous out-partisan PARTICIPANT,subject_of_message,1,money_certain,"50 real cents, certain",inside a randomised DV block (mid-battery),Party_Overlap,1140,6824,35.453,2.987,0.813,8.426,,3.348,all signs flipped to the GIVING direction; recoded PA_DG is reverse-scored (raw mean 19.30 of 50c = 38.6%)
