spec,dataset,file,control_arm,arms,outcomes,n_used,method,note
spampatti2023_us_only,spampatti2023,downloads/Data/Preprocessed/Showdown.csv,0,"[1, 2, 3, 4, 5, 6]","['Affect_sci', 'Affect_act', 'CCB', 'MIST_score', 'WEPT_90']",568,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",US rows only
schmid2023_E1,schmidbetsch2019,downloads/hg2y8/Merged dataset and RScript for primary analyses/DATA_MERGE_ANALYSIS.sav,Condition 4 = hostile denier x hostile advocate,"[1, 2, 3]","['POST_POMP_Attitude', 'POST_POMP_Intention', 'POMP_COMPETENCE_DENIER', 'POMP_VERBAL_AGGRESSION_MEAN', 'POMP_EXPECTANCY_DENIER_MEAN', 'POMP_COMPETENCE_ADVOCATE']",521,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",Schmid & Werner 2023 follow-up; all DVs are POMP 0-100; advocate-credibility DVs are missing in advocate-absent arms so only denier-side + attitude/intention DVs are used
schmid2023_E2,schmidbetsch2019,downloads/hg2y8/Merged dataset and RScript for primary analyses/DATA_MERGE_ANALYSIS.sav,Condition 4 = hostile denier x hostile advocate,"[1, 2, 3]","['POST_POMP_Attitude', 'POST_POMP_Intention', 'POMP_COMPETENCE_DENIER', 'POMP_VERBAL_AGGRESSION_MEAN', 'POMP_EXPECTANCY_DENIER_MEAN']",310,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",Schmid & Werner 2023 follow-up; all DVs are POMP 0-100; advocate-credibility DVs are missing in advocate-absent arms so only denier-side + attitude/intention DVs are used
schmid2023_E3,schmidbetsch2019,downloads/hg2y8/Merged dataset and RScript for primary analyses/DATA_MERGE_ANALYSIS.sav,Condition 4 = hostile denier x hostile advocate,"[1, 2, 3, 5, 6]","['POST_POMP_Attitude', 'POST_POMP_Intention', 'POMP_COMPETENCE_DENIER', 'POMP_VERBAL_AGGRESSION_MEAN', 'POMP_MEAN_ISSUE_INVOLVEMENT']",1200,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",Schmid & Werner 2023 follow-up; all DVs are POMP 0-100; advocate-credibility DVs are missing in advocate-absent arms so only denier-side + attitude/intention DVs are used
schmid2023_E4,schmidbetsch2019,downloads/hg2y8/Merged dataset and RScript for primary analyses/DATA_MERGE_ANALYSIS.sav,Condition 4 = hostile denier x hostile advocate,"[1, 2, 3, 5, 6]","['POST_POMP_Attitude', 'POST_POMP_Intention', 'POMP_COMPETENCE_DENIER', 'POMP_VERBAL_AGGRESSION_MEAN', 'POMP_MEAN_ISSUE_INVOLVEMENT']",1195,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",Schmid & Werner 2023 follow-up; all DVs are POMP 0-100; advocate-credibility DVs are missing in advocate-absent arms so only denier-side + attitude/intention DVs are used
gateway_vdL2017,gatewaybelief,downloads/Experiment 2 data van der Linden et al 2017.csv,Control,"['PieChartOnly', 'Pie-Counter', 'CounterOnly', 'Pie+Inoc-Counter', 'Pie+Indepthinoc-Counter']","['psc_T2', 'belief_T2', 'hcaused_T2', 'worry_T2', 'action_T2']",2197,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",belief/hcaused recoded exactly as the authors R script
gateway_vdL2017_ancova,gatewaybelief,downloads/Experiment 2 data van der Linden et al 2017.csv,Control,"['PieChartOnly', 'Pie-Counter', 'CounterOnly', 'Pie+Inoc-Counter', 'Pie+Indepthinoc-Counter']","['psc_T2_R', 'belief_T2_R', 'hcaused_T2_R', 'worry_T2_R', 'action_T2_R']",2197,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables on T2 residualised on T1",
gateway_Maertens2020,gatewaybelief,downloads/Experiment 1 data Maertens et al 2020.csv,Control,"['Consensus', 'Inoculation', 'Balanced']","['PSC.T2', 'Belief.T2', 'HumanCausation.T2', 'Worry.T2', 'SupportForAction.T2']",479,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",
gateway_Maertens2020_ancova,gatewaybelief,downloads/Experiment 1 data Maertens et al 2020.csv,Control,"['Consensus', 'Inoculation', 'Balanced']","['PSC.T2_R', 'Belief.T2_R', 'HumanCausation.T2_R', 'Worry.T2_R', 'SupportForAction.T2_R']",479,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables on T2 residualised on T1",
veckalov2024_all27,geiger2026,downloads/analysis_dataset.RDS,control,"['classic', 'updated']","['consensus_perception', 'belief_climate_change', 'belief_human_causation', 'belief_crisis', 'climate_worry', 'climate_action_support', 'scientist_trust']",10527,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",read with pyreadr; k=2 so the mix is structurally attenuated
hackenburg_electoral_college,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['electoral_college-1', 'electoral_college-2-reversed', 'electoral_college-3', 'electoral_college-4']",2638,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_border,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['border-1', 'border-2-reversed', 'border-3', 'border-4']",2599,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_affirmative_action,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['affirmative_action-1', 'affirmative_action-2-reversed', 'affirmative_action-3', 'affirmative_action-4']",2607,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_suicide,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['suicide-1', 'suicide-2-reversed', 'suicide-3', 'suicide-4']",2612,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_confinement,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['confinement-1', 'confinement-2-reversed', 'confinement-3', 'confinement-4']",2589,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_foreign_aid,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['foreign_aid-1', 'foreign_aid-2-reversed', 'foreign_aid-3', 'foreign_aid-4']",2535,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_felon_voting,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['felon_voting-1', 'felon_voting-2-reversed', 'felon_voting-3', 'felon_voting-4']",2613,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_veterans,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['veterans-1', 'veterans-2-reversed', 'veterans-3', 'veterans-4']",2649,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_pensions,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['pensions-1', 'pensions-2-reversed', 'pensions-3', 'pensions-4']",2579,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_medicaid,hackenburg2025,downloads/main_study/code/analysis/final_data_with_metrics.csv,"condition==""control""","['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']","['medicaid-1', 'medicaid-2-reversed', 'medicaid-3', 'medicaid-4']",2561,"diff-in-means per (arm,outcome), pp = 100*(mean_arm-mean_ctrl)/(hi-lo); noise floor by MVN simulation of arm-mean vectors with pairwise-complete covariance/n; cross-check = 100-200 stratified split-halves, cross-product of the two halves centred tables",arm = model_family (+ human); 4 items of one policy construct as the outcome set
hackenburg_10issues_pooled,hackenburg2025,(as above),control,"['Qwen1.5', 'Llama', 'pythia', 'gpt', 'claude', 'Yi', 'falcon', 'human']",4 items per issue,25982,"mean of the 10 per-issue corrected variances, then mix = sqrt(mean vw / mean vb)",band = 10th/90th pct of the 10 per-issue mixes
TARGET prediction,benchmark,/workspace/benchmark/scripts/lib/submission_spec.R + survey/condition_codenames.csv + /workspace/run/anchors/outcome_profile.csv,control,16,13,18000,"sd_btw = sd(ANCHORS_E resp_ctr over the 13 outcomes) = 0.417 pp; sd_wth = 0.55 pp from the voelkel2026 (0.57/0.70), gligoric (0.00), spampatti (0.30), voelkel2024 (1.51) message-level anchors",no human outcome data exists for the target
